Unnamed: 0,city,airport,depart_from,arrive_at,date,depart_time,arrival_time,price,airline,flight_duration,weather
58,Miami,MIA,DTW,MIA,2021-12-22,8:35 ,11:48 ,254,Delta,3h 13m,80
59,Miami,MIA,DTW,MIA,2021-12-22,12:26 ,3:40 ,254,American Airlines,3h 14m,80
60,Dallas,DFW,DTW,DFW,2021-12-20,3:23 ,5:26 ,310,Delta,3h 03m,48
61,Dallas,DFW,DTW,DFW,2021-12-20,8:59 ,11:03 ,310,Delta,3h 04m,48
62,Dallas,DFW,DTW,DFW,2021-12-20,12:45 ,2:49 ,310,Delta,3h 04m,48
63,Dallas,DFW,DTW,DFW,2021-12-20,8:25 ,10:36 ,310,Delta,3h 11m,48
64,Dallas,DFW,DTW,DFW,2021-12-20,3:32 ,5:45 ,310,American Airlines,3h 13m,48
65,Dallas,DFW,DTW,DFW,2021-12-21,3:23 ,5:26 ,310,Delta,3h 03m,58
66,Dallas,DFW,DTW,DFW,2021-12-21,8:59 ,11:03 ,310,Delta,3h 04m,58
67,Dallas,DFW,DTW,DFW,2021-12-21,12:45 ,2:49 ,310,Delta,3h 04m,58
68,Dallas,DFW,DTW,DFW,2021-12-21,8:25 ,10:36 ,310,Delta,3h 11m,58
69,Dallas,DFW,DTW,DFW,2021-12-21,7:30 ,9:45 ,310,American Airlines,3h 15m,58
70,Dallas,DFW,DTW,DFW,2021-12-22,6:30 ,5:38 ,274,Spirit Airlines,12h 08m,62
71,Dallas,DFW,DTW,DFW,2021-12-22,3:23 ,5:26 ,299,Delta,3h 03m,62
72,Dallas,DFW,DTW,DFW,2021-12-22,6:30 ,5:38 ,274,Spirit Airlines,12h 08m,62
73,Dallas,DFW,DTW,DFW,2021-12-22,8:59 ,11:03 ,299,Delta,3h 04m,62
74,Dallas,DFW,DTW,DFW,2021-12-22,12:45 ,2:49 ,299,Delta,3h 04m,62
75,Philadelphia,PHL,DTW,PHL,2021-12-20,12:54 ,2:35 ,399,American Airlines,1h 41m,39
76,Philadelphia,PHL,DTW,PHL,2021-12-20,9:30 ,5:02 ,170,Amtrak,19h 32m,39
77,Philadelphia,PHL,DTW,PHL,2021-12-20,6:15 ,7:56 ,399,Delta,1h 41m,39
78,Philadelphia,PHL,DTW,PHL,2021-12-20,10:20 ,12:05 ,399,Delta,1h 45m,39
79,Philadelphia,PHL,DTW,PHL,2021-12-20,2:25 ,4:10 ,399,Delta,1h 45m,39
80,Philadelphia,PHL,DTW,PHL,2021-12-21,1:30 ,7:51 ,241,Spirit Airlines,6h 21m,45
81,Philadelphia,PHL,DTW,PHL,2021-12-21,12:54 ,2:35 ,399,American Airlines,1h 41m,45
82,Philadelphia,PHL,DTW,PHL,2021-12-21,7:43 ,11:54 ,184,American Airlines,4h 11m,45
83,Philadelphia,PHL,DTW,PHL,2021-12-21,6:15 ,7:56 ,399,Delta,1h 41m,45
84,Philadelphia,PHL,DTW,PHL,2021-12-21,10:20 ,12:05 ,399,Delta,1h 45m,45
85,Philadelphia,PHL,DTW,PHL,2021-12-22,12:54 ,2:35 ,399,American Airlines,1h 41m,47
86,Philadelphia,PHL,DTW,PHL,2021-12-22,7:43 ,11:54 ,173,American Airlines,4h 11m,47
87,Philadelphia,PHL,DTW,PHL,2021-12-22,5:58 ,7:44 ,399,American Airlines,1h 46m,47
88,Philadelphia,PHL,DTW,PHL,2021-12-22,4:11 ,5:57 ,399,American Airlines,1h 46m,47
89,Philadelphia,PHL,DTW,PHL,2021-12-22,6:35 ,8:25 ,399,American Airlines,1h 50m,47
90,Washington,WAS,DTW,WAS,2021-12-20,3:18 ,4:46 ,87,Spirit Airlines,1h 28m,43
91,Washington,WAS,DTW,WAS,2021-12-20,5:42 ,7:17 ,177,American Airlines,1h 35m,43
92,Washington,WAS,DTW,WAS,2021-12-20,10:29 ,11:59 ,249,American Airlines,1h 30m,43
97,Washington,WAS,DTW,WAS,2021-12-22,10:29 ,11:59 ,166,American Airlines,1h 30m,51
98,Washington,WAS,DTW,WAS,2021-12-22,10:29 ,11:59 ,166,American Airlines,1h 30m,51
99,Washington,WAS,DTW,WAS,2021-12-22,5:42 ,7:17 ,166,American Airlines,1h 35m,51
