,city,airport,day1,day2,day3,depart_from,arrive_at,date,depart_time,arrival_time,price,airline,flight_duration
53,Miami,MIA,82,81,80,DTW,MIA,2021-12-21,8:35 ,11:48 ,$292,Delta,3h 13m
54,Miami,MIA,82,81,80,DTW,MIA,2021-12-21,12:26 ,3:40 ,$292,American Airlines,3h 14m
55,Miami,MIA,82,81,80,DTW,MIA,2021-12-22,8:55 ,12:19 ,$262,Spirit Airlines,3h 24m
56,Miami,MIA,82,81,80,DTW,MIA,2021-12-22,3:41 ,6:46 ,$254,Delta,3h 05m
57,Miami,MIA,82,81,80,DTW,MIA,2021-12-22,7:14 ,12:19 ,$243,Spirit Airlines,5h 05m
58,Miami,MIA,82,81,80,DTW,MIA,2021-12-22,8:35 ,11:48 ,$254,Delta,3h 13m
59,Miami,MIA,82,81,80,DTW,MIA,2021-12-22,12:26 ,3:40 ,$254,American Airlines,3h 14m
60,Dallas,DFW,48,58,62,DTW,DFW,2021-12-20,3:23 ,5:26 ,$310,Delta,3h 03m
61,Dallas,DFW,48,58,62,DTW,DFW,2021-12-20,8:59 ,11:03 ,$310,Delta,3h 04m
62,Dallas,DFW,48,58,62,DTW,DFW,2021-12-20,12:45 ,2:49 ,$310,Delta,3h 04m
63,Dallas,DFW,48,58,62,DTW,DFW,2021-12-20,8:25 ,10:36 ,$310,Delta,3h 11m
64,Dallas,DFW,48,58,62,DTW,DFW,2021-12-20,3:32 ,5:45 ,$310,American Airlines,3h 13m
65,Dallas,DFW,48,58,62,DTW,DFW,2021-12-21,3:23 ,5:26 ,$310,Delta,3h 03m
66,Dallas,DFW,48,58,62,DTW,DFW,2021-12-21,8:59 ,11:03 ,$310,Delta,3h 04m
67,Dallas,DFW,48,58,62,DTW,DFW,2021-12-21,12:45 ,2:49 ,$310,Delta,3h 04m
68,Dallas,DFW,48,58,62,DTW,DFW,2021-12-21,8:25 ,10:36 ,$310,Delta,3h 11m
69,Dallas,DFW,48,58,62,DTW,DFW,2021-12-21,7:30 ,9:45 ,$310,American Airlines,3h 15m
70,Dallas,DFW,48,58,62,DTW,DFW,2021-12-22,6:30 ,5:38 ,$274,Spirit Airlines,12h 08m
71,Dallas,DFW,48,58,62,DTW,DFW,2021-12-22,3:23 ,5:26 ,$299,Delta,3h 03m
72,Dallas,DFW,48,58,62,DTW,DFW,2021-12-22,6:30 ,5:38 ,$274,Spirit Airlines,12h 08m
73,Dallas,DFW,48,58,62,DTW,DFW,2021-12-22,8:59 ,11:03 ,$299,Delta,3h 04m
74,Dallas,DFW,48,58,62,DTW,DFW,2021-12-22,12:45 ,2:49 ,$299,Delta,3h 04m
75,Philadelphia,PHL,39,45,47,DTW,PHL,2021-12-20,12:54 ,2:35 ,$399,American Airlines,1h 41m
76,Philadelphia,PHL,39,45,47,DTW,PHL,2021-12-20,9:30 ,5:02 ,$170,Amtrak,19h 32m
77,Philadelphia,PHL,39,45,47,DTW,PHL,2021-12-20,6:15 ,7:56 ,$399,Delta,1h 41m
78,Philadelphia,PHL,39,45,47,DTW,PHL,2021-12-20,10:20 ,12:05 ,$399,Delta,1h 45m
79,Philadelphia,PHL,39,45,47,DTW,PHL,2021-12-20,2:25 ,4:10 ,$399,Delta,1h 45m
80,Philadelphia,PHL,39,45,47,DTW,PHL,2021-12-21,1:30 ,7:51 ,$241,Spirit Airlines,6h 21m
81,Philadelphia,PHL,39,45,47,DTW,PHL,2021-12-21,12:54 ,2:35 ,$399,American Airlines,1h 41m
82,Philadelphia,PHL,39,45,47,DTW,PHL,2021-12-21,7:43 ,11:54 ,$184,American Airlines,4h 11m
83,Philadelphia,PHL,39,45,47,DTW,PHL,2021-12-21,6:15 ,7:56 ,$399,Delta,1h 41m
84,Philadelphia,PHL,39,45,47,DTW,PHL,2021-12-21,10:20 ,12:05 ,$399,Delta,1h 45m
85,Philadelphia,PHL,39,45,47,DTW,PHL,2021-12-22,12:54 ,2:35 ,$399,American Airlines,1h 41m
86,Philadelphia,PHL,39,45,47,DTW,PHL,2021-12-22,7:43 ,11:54 ,$173,American Airlines,4h 11m
87,Philadelphia,PHL,39,45,47,DTW,PHL,2021-12-22,5:58 ,7:44 ,$399,American Airlines,1h 46m
88,Philadelphia,PHL,39,45,47,DTW,PHL,2021-12-22,4:11 ,5:57 ,$399,American Airlines,1h 46m
89,Philadelphia,PHL,39,45,47,DTW,PHL,2021-12-22,6:35 ,8:25 ,$399,American Airlines,1h 50m
90,Washington,WAS,43,48,51,DTW,WAS,2021-12-20,3:18 ,4:46 ,$87,Spirit Airlines,1h 28m
91,Washington,WAS,43,48,51,DTW,WAS,2021-12-20,5:42 ,7:17 ,$177,American Airlines,1h 35m
92,Washington,WAS,43,48,51,DTW,WAS,2021-12-20,10:29 ,11:59 ,$249,American Airlines,1h 30m
93,Washington,WAS,43,48,51,DTW,WAS,2021-12-20,6:05 ,7:47 ,"$1,596",American Airlines,1h 42m
94,Washington,WAS,43,48,51,DTW,WAS,2021-12-20,6:15 ,7:40 ,Info,Southwest,1h 25m
95,Washington,WAS,43,48,51,DTW,WAS,2021-12-21,6:15 ,7:40 ,Info,Southwest,1h 25m
96,Washington,WAS,43,48,51,DTW,WAS,2021-12-21,5:50 ,7:30 ,Info,Southwest,1h 40m
97,Washington,WAS,43,48,51,DTW,WAS,2021-12-22,10:29 ,11:59 ,$166,American Airlines,1h 30m
98,Washington,WAS,43,48,51,DTW,WAS,2021-12-22,10:29 ,11:59 ,$166,American Airlines,1h 30m
99,Washington,WAS,43,48,51,DTW,WAS,2021-12-22,5:42 ,7:17 ,$166,American Airlines,1h 35m
100,Washington,WAS,43,48,51,DTW,WAS,2021-12-22,5:42 ,7:17 ,Info,American Airlines,1h 35m
101,Washington,WAS,43,48,51,DTW,WAS,2021-12-22,6:05 ,7:47 ,Info,American Airlines,1h 42m
